epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1462.25,0.49893,2.60415,0.16678,0.53871,0.97217,0.88516,0.87157,0.94326,0.86192,0.88516,0.87157,0.9346,0.62983,0.46331,1.97601,0.03477,0.49375,0.92155,0.000462259,0.000462259,0.000462259
75,1481.94,0.51263,2.82679,0.17509,0.55699,0.98202,0.88132,0.90591,0.89551,0.81008,0.88132,0.90591,0.87315,0.61579,0.4664,1.89228,0.0439,0.52861,0.92855,0.000445756,0.000445756,0.000445756
76,1503.27,0.50464,2.7875,0.17052,0.51963,0.97457,0.83127,0.82955,0.85623,0.78607,0.83127,0.82955,0.80196,0.55681,0.46242,2.09935,0.0308,0.71447,0.93353,0.000429253,0.000429253,0.000429253
77,1518.61,0.53972,2.6512,0.16394,0.5469,0.99077,0.8754,0.85746,0.89401,0.82508,0.8754,0.85746,0.87648,0.5958,0.46887,2.00749,0.02171,0.53657,0.93388,0.000412749,0.000412749,0.000412749
78,1537.34,0.51549,2.60607,0.17984,0.52071,0.98951,0.82987,0.82449,0.87534,0.79119,0.82987,0.82449,0.83359,0.58708,0.48769,2.08299,0.02758,0.64158,0.92825,0.000396246,0.000396246,0.000396246
79,1558.97,0.50846,2.85838,0.1792,0.5357,0.97325,0.80843,0.83876,0.86316,0.78709,0.80843,0.83876,0.79677,0.54887,0.46355,2.22411,0.02227,0.69384,0.91708,0.000379743,0.000379743,0.000379743
80,1578.09,0.52438,2.82481,0.17628,0.53292,0.9947,0.81965,0.82955,0.85573,0.78397,0.81965,0.82955,0.80132,0.57133,0.44983,2.04246,0.03679,0.63998,0.9214,0.000363239,0.000363239,0.000363239
81,1598.09,0.50467,2.68819,0.17387,0.50915,0.97544,0.83675,0.85381,0.91147,0.8351,0.83675,0.85381,0.90402,0.58431,0.45932,2.04757,0.02213,0.53533,0.92569,0.000346736,0.000346736,0.000346736
82,1618.5,0.46976,2.6628,0.17603,0.50747,0.95626,0.84707,0.84152,0.91772,0.83962,0.84707,0.84152,0.91139,0.6311,0.46298,1.95007,0.02059,0.52304,0.92652,0.000330233,0.000330233,0.000330233
83,1637.56,0.51355,2.63327,0.16918,0.52953,0.98566,0.82804,0.88026,0.89147,0.82334,0.82804,0.88026,0.85362,0.61118,0.45882,1.93961,0.02784,0.58511,0.92187,0.000313729,0.000313729,0.000313729
